"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\explorecreators\sections\SearchResults\Creator\Desktop.js", "JavaScript", 150, 0, 0, 0, 0, 2, 9, 161
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\explorecreators\sections\SearchResults\Creator\Mobile.js", "JavaScript", 158, 0, 0, 0, 0, 2, 8, 168
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\explorecreators\sections\SearchResults\Creator\Tablet.js", "JavaScript", 150, 0, 0, 0, 0, 2, 8, 160
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\functions.js", "JavaScript", 109, 0, 0, 0, 0, 9, 18, 136
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\Event.js", "JavaScript", 126, 0, 0, 0, 0, 5, 22, 153
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\EventCard.js", "JavaScript", 73, 0, 0, 0, 0, 2, 13, 88
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\EventCard\Fixed.js", "JavaScript", 104, 0, 0, 0, 0, 0, 5, 109
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\EventCard\Responsive.js", "JavaScript", 109, 0, 0, 0, 0, 0, 5, 114
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\EventOwned\Fixed.js", "JavaScript", 290, 0, 0, 0, 0, 14, 8, 312
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\Event\Fixed.js", "JavaScript", 420, 0, 0, 0, 0, 2, 18, 440
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\Event\Responsive.js", "JavaScript", 412, 0, 0, 0, 0, 2, 17, 431
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\cards\modal\Purchase.js", "JavaScript", 201, 0, 0, 0, 0, 2, 13, 216
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\Layout.js", "JavaScript", 30, 0, 0, 0, 0, 0, 4, 34
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\EventBar\Layout.js", "JavaScript", 134, 0, 0, 0, 0, 0, 8, 142
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\EventBar\Layout\Header.js", "JavaScript", 41, 0, 0, 0, 0, 0, 7, 48
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar.js", "JavaScript", 81, 0, 0, 0, 0, 0, 7, 88
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\Following.js", "JavaScript", 120, 0, 0, 0, 0, 0, 16, 136
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\Header.js", "JavaScript", 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\Pages.js", "JavaScript", 46, 0, 0, 0, 0, 0, 8, 54
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\components\CreateEventBtn.js", "JavaScript", 140, 0, 0, 0, 0, 0, 16, 156
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\components\FollowingBtn.js", "JavaScript", 124, 0, 0, 0, 0, 0, 8, 132
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\components\PageBtn.js", "JavaScript", 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\NavBar\components\SelectedPageBtn.js", "JavaScript", 85, 0, 0, 0, 0, 0, 7, 92
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar.js", "JavaScript", 54, 0, 0, 0, 0, 0, 5, 59
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\Center.js", "JavaScript", 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\End.js", "JavaScript", 78, 0, 0, 0, 0, 2, 13, 93
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\End\Desktop.js", "JavaScript", 172, 0, 0, 0, 0, 2, 15, 189
